Year,Make,Model,Used/New,Price
2019,Toyota,4Runner Limited,Toyota Certified,39587
2019,BMW,X5 xDrive40i,Used,53989
2020,BMW,X3 xDrive30i,Used,40998
2017,BMW,X3 xDrive28i,Used,32199
2017,Kia,Sorento SX,Used,25999
2019,Land,Rover Discovery HSE,Used,56343
2018,BMW,X3 xDrive30i,Used,33962
2020,BMW,X3 sDrive30i,BMW Certified,42962
2020,Mercedes-Benz,GLC 300 Base,Used,42888
2020,Nissan,Rogue SL,Nissan Certified,32989
2021,Mercedes-Benz,GLE 350,Used,64980
2020,BMW,750 i xDrive,Used,78790
2021,Honda,Pilot Special Edition,Used,41991
2017,Lexus,GS 350 F Sport,Used,39988
2021,Toyota,Highlander Limited,Used,48995
2019,Subaru,Outback 2.5i Limited,Used,26947
2019,Land,Rover Range Rover SV Autobiography Dynamic,Used,140000
2018,Toyota,Highlander Limited,Used,35991
2019,INFINITI,QX60 Luxe,Used,34989
2021,GMC,Yukon Denali,Used,78749
2020,Honda,Passport EX-L,Used,38998
2018,Toyota,RAV4 Limited,Used,33675
2014,Mazda,Mazda3 i SV,Used,12987
2020,Kia,Stinger GT2,Used,47000
2020,Acura,TLX A-Spec,Used,38749
2021,Audi,A6 55 Premium Plus,Used,50591
2021,Tesla,Model Y Performance,Used,74000
2019,Honda,CR-V EX-L,Used,35573
2019,BMW,X5 xDrive40i,Used,52767
2020,Ford,Mustang GT,Used,62977
2019,BMW,540 i xDrive,BMW Certified,45877
2019,Tesla,Model 3 Performance,Used,57775
2020,Ford,Fusion Hybrid Titanium,Used,29590
2020,Acura,MDX 3.5L Technology & A-Spec Pkgs,Acura Certified,46890
2018,Dodge,Durango GT,Used,33995
2016,Toyota,4Runner Limited,Used,35910
2019,INFINITI,QX80 Luxe,Used,46733
2019,BMW,X5 xDrive40i,Used,55488
2020,Subaru,Ascent Touring 7-Passenger,Used,42999
2018,Mercedes-Benz,C-Class C 300,Used,29809
2020,Tesla,Model Y Long Range,Used,69000
2019,Honda,Pilot EX-L,Used,34447
2018,Jeep,Wrangler Unlimited Sahara,Used,42980
2016,Subaru,Forester 2.5i Touring,Used,26405
2015,Jeep,Wrangler Unlimited Sport,Used,26996
2020,Lexus,RX 350 Base,Used,50430
2019,Chevrolet,Equinox Premier w/1LZ,Chevrolet Certified,28572
2019,Volkswagen,Jetta 1.4T S,Used,19982
2020,Land,Rover Range Rover Evoque SE,Used,42080
2021,Toyota,4Runner Limited,Toyota Certified,50891
2016,Ford,Mustang GT,Used,24995
2017,Ford,Focus RS Base,Used,37438
2021,Honda,Pilot EX-L,Used,44712
2018,Alfa,Romeo Stelvio Base,Used,26504
2016,Jaguar,F-TYPE S,Used,53222
2021,Honda,Pilot EX-L,Used,34071
2020,Ford,EcoSport S,Used,8099
2019,Nissan,Murano SL,Nissan Certified,33821
2020,Tesla,Model 3 Performance,Used,61230
2019,BMW,X5 xDrive40i,Used,56438
2004,Ford,F-150 XLT SuperCrew,Used,7099
2019,Mazda,CX-5 Grand Touring,Used,30995
2019,Audi,RS 5 2.9T,Used,77895
2019,Mercedes-Benz,AMG GLE 43 4MATIC Coupe,Mercedes-Benz Certified,67800
2013,BMW,X3 xDrive28i,Used,13750
2015,Volkswagen,Golf TSI S 2-Door,Used,16500
2016,Audi,A7 3.0T Prestige,Used,33995
2019,Mercedes-Benz,GLS 450 Base 4MATIC,Used,57427
2020,Toyota,Avalon XSE,Used,40591
2019,Honda,CR-V EX-L,Honda Certified,30495
2019,Mercedes-Benz,CLA 250 Base,Used,28990
2019,Lexus,RX 350 350,Used,46788
2020,BMW,X3 xDrive30i,Used,43052
2019,BMW,330 i xDrive,Used,29595
2019,Mercedes-Benz,S-Class S 560 4MATIC,Used,52998
2019,Subaru,Crosstrek 2.0i Premium,Used,25999
2018,Honda,Accord Touring 2.0T,Used,31500
2019,BMW,540 i xDrive,Used,39950
2020,BMW,X3 xDrive30i,BMW Certified,42888
2020,GMC,Sierra 1500 Elevation,Used,39999
2011,Volkswagen,Jetta SE,Used,5099
2012,Volkswagen,Tiguan SE,Used,10995
2016,BMW,X3 xDrive28i,Used,25985
2019,Toyota,Corolla SE,Used,23998
2019,MINI,Convertible Cooper,Used,26975
2020,Audi,Q5 45 Premium,Used,37900
2018,Mazda,Mazda3 Sport,Used,18807
2019,Alfa,Romeo Stelvio Ti Sport,Used,34495
2017,Kia,Sorento LX,Used,18995
2018,Audi,Q5 2.0T Premium Plus,Used,34998
2019,Audi,A6 55 Premium Plus,Used,46177
2018,Ford,Edge Sport,Ford Certified,33998
2020,Acura,MDX 3.5L w/Technology Package,Used,42999
2019,BMW,X1 sDrive28i,Used,31998
2016,Lexus,NX 200t Base,Used,28998
2021,Ford,Explorer XLT,Used,45989
2014,Jeep,Cherokee Trailhawk,Used,21594
